"article","cluster_number","words"
"1.txt",1,"application, care, data, bias, consideration, health, privacy, challenge, governance, tool"
"10.txt",2,"model, design, framework, governance, policy, language, risk, system, technology, decision"
"100.txt",3,"medium, climate, policy, sentiment, topic, model, opinion, change, language, content"
"101.txt",4,"information, healthcare, treatment, model, response, use, survey, concern, adoption, background"
"102.txt",2,"model, design, framework, governance, policy, language, risk, system, technology, decision"
"103.txt",5,"data, management, application, knowledge, model, system, challenge, language, security, domain"
"104.txt",4,"information, healthcare, treatment, model, response, use, survey, concern, adoption, background"
"105.txt",1,"application, care, data, bias, consideration, health, privacy, challenge, governance, tool"
"106.txt",1,"application, care, data, bias, consideration, health, privacy, challenge, governance, tool"
"107.txt",4,"information, healthcare, treatment, model, response, use, survey, concern, adoption, background"
"108.txt",6,"efficiency, energy, edge, system, optimization, overhead, solution, blockchain, challenge, architecture"
"109.txt",5,"data, management, application, knowledge, model, system, challenge, language, security, domain"
"11.txt",5,"data, management, application, knowledge, model, system, challenge, language, security, domain"
"110.txt",7,"student, education, curriculum, faculty, skill, thinking, university, educator, teaching, learning"
"111.txt",8,"adoption, chain, innovation, supply, role, framework, integration, practice, challenge, enterprise"
"112.txt",4,"information, healthcare, treatment, model, response, use, survey, concern, adoption, background"
"113.txt",1,"application, care, data, bias, consideration, health, privacy, challenge, governance, tool"
"114.txt",3,"medium, climate, policy, sentiment, topic, model, opinion, change, language, content"
"115.txt",1,"application, care, data, bias, consideration, health, privacy, challenge, governance, tool"
"116.txt",2,"model, design, framework, governance, policy, language, risk, system, technology, decision"
"117.txt",8,"adoption, chain, innovation, supply, role, framework, integration, practice, challenge, enterprise"
"118.txt",5,"data, management, application, knowledge, model, system, challenge, language, security, domain"
"119.txt",4,"information, healthcare, treatment, model, response, use, survey, concern, adoption, background"
"12.txt",6,"efficiency, energy, edge, system, optimization, overhead, solution, blockchain, challenge, architecture"
"120.txt",3,"medium, climate, policy, sentiment, topic, model, opinion, change, language, content"
"121.txt",9,"accuracy, model, performance, language, detection, dataset, datasets, data, experiment, learning"
"122.txt",9,"accuracy, model, performance, language, detection, dataset, datasets, data, experiment, learning"
"123.txt",8,"adoption, chain, innovation, supply, role, framework, integration, practice, challenge, enterprise"
"124.txt",2,"model, design, framework, governance, policy, language, risk, system, technology, decision"
"125.txt",4,"information, healthcare, treatment, model, response, use, survey, concern, adoption, background"
"126.txt",9,"accuracy, model, performance, language, detection, dataset, datasets, data, experiment, learning"
"127.txt",3,"medium, climate, policy, sentiment, topic, model, opinion, change, language, content"
"128.txt",3,"medium, climate, policy, sentiment, topic, model, opinion, change, language, content"
"129.txt",3,"medium, climate, policy, sentiment, topic, model, opinion, change, language, content"
"13.txt",1,"application, care, data, bias, consideration, health, privacy, challenge, governance, tool"
"130.txt",1,"application, care, data, bias, consideration, health, privacy, challenge, governance, tool"
"131.txt",2,"model, design, framework, governance, policy, language, risk, system, technology, decision"
